,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
197,194,Virat Kohli,253802,Rubel Hossain,300619,"Rubel Hossain to Kohli, FOUR runs full, and he drives this straight back past the bowler. Gun-barrel straight, and <strong>scorches through to the fence to the right of where long off might have been</strong>!",1st innings,32.2,four,194,4,194/1,"Rubel Hossain to Kohli, FOUR runs",,"full, and he drives this straight back past the bowler. Gun-barrel straight, and <strong>scorches through to the fence to the right of where long off might have been</strong>!",1
198,195,Virat Kohli,253802,Rubel Hossain,300619,"Rubel Hossain to Kohli, 1 run shorter in length, and he flicks this off the crease towards deep midwicket",1st innings,32.3,run,195,1,195/1,"Rubel Hossain to Kohli, 1 run",,"shorter in length, and he flicks this off the crease towards deep midwicket",1
199,196,KL Rahul,422108,Rubel Hossain,300619,"Rubel Hossain to Rahul, OUT <strong>GONE!</strong> No century here for Rahul, as he looks to slash away a ball that was a touch too full for the shot he was looking to play. Takes the outer edge - may have been a change of pace too - and drops away to Mushfiqur Rahim's right. He takes a good catch low down to his right. It's not Rahul's most fluent innings in international cricket, but the volume of runs should do his confidence a world of good. He was in control for a greater percentage while his partnership with Rohit Sharma was on, incidentally",1st innings,32.4,out,195,0,195/2,"Rubel Hossain to Rahul, OUT",,"<strong>GONE!</strong> No century here for Rahul, as he looks to slash away a ball that was a touch too full for the shot he was looking to play. Takes the outer edge - may have been a change of pace too - and drops away to Mushfiqur Rahim's right. He takes a good catch low down to his right. It's not Rahul's most fluent innings in international cricket, but the volume of runs should do his confidence a world of good. He was in control for a greater percentage while his partnership with Rohit Sharma was on, incidentally",2
200,197,Rishabh Pant,931581,Rubel Hossain,300619,"Rubel Hossain to Pant, no run <strong>lovely!</strong> Fuller ball, angles across him, and just eludes his outside edge as Pant looks to defend after stretching forward. Bowled at pretty decent pace too",1st innings,32.5,no run,195,0,195/2,"Rubel Hossain to Pant, no run",,"<strong>lovely!</strong> Fuller ball, angles across him, and just eludes his outside edge as Pant looks to defend after stretching forward. Bowled at pretty decent pace too",2
201,198,Rishabh Pant,931581,Rubel Hossain,300619,"Rubel Hossain to Pant, 1 run length, straighter, and he walks across and flicks this towards deep square leg. Wants two, but will have to make do with just the single",1st innings,32.6,run,196,1,196/2,"Rubel Hossain to Pant, 1 run",,"length, straighter, and he walks across and flicks this towards deep square leg. Wants two, but will have to make do with just the single",2
202,198,Rishabh Pant,931581,Mosaddek Hossain,550133,"Mosaddek Hossain to Pant, 1 wide floats one full, but sprays it down the leg side. Wide called",1st innings,33.0,wide,197,1,197/2,"Mosaddek Hossain to Pant, 1 wide",,"floats one full, but sprays it down the leg side. Wide called",2
203,199,Rishabh Pant,931581,Mosaddek Hossain,550133,"Mosaddek Hossain to Pant, no run comes forward to meet a length ball, and forced to defend",1st innings,33.1,no run,197,0,197/2,"Mosaddek Hossain to Pant, no run",,"comes forward to meet a length ball, and forced to defend",2
204,200,Rishabh Pant,931581,Mosaddek Hossain,550133,"Mosaddek Hossain to Pant, no run length, turns into him after pitching on leg, and he defends",1st innings,33.2,no run,197,0,197/2,"Mosaddek Hossain to Pant, no run",,"length, turns into him after pitching on leg, and he defends",2
205,201,Rishabh Pant,931581,Mosaddek Hossain,550133,"Mosaddek Hossain to Pant, no run that's good! But not given. Will they review this? No. Length from around the wicket, and he looks to flick and gets hit on the pads. Maybe they aren't sure of the height",1st innings,33.3,no run,197,0,197/2,"Mosaddek Hossain to Pant, no run",,"that's good! But not given. Will they review this? No. Length from around the wicket, and he looks to flick and gets hit on the pads. Maybe they aren't sure of the height",2
206,202,Rishabh Pant,931581,Mosaddek Hossain,550133,"Mosaddek Hossain to Pant, no run blocks a length ball angling into him towards square leg",1st innings,33.4,no run,197,0,197/2,"Mosaddek Hossain to Pant, no run",,blocks a length ball angling into him towards square leg,2
207,203,Rishabh Pant,931581,Mosaddek Hossain,550133,"Mosaddek Hossain to Pant, SIX runs <strong>TAKE THAT!</strong> Chips down the wicket and goes through with the full flow of the blade, and that sails into the stands beyond long on",1st innings,33.5,six,203,6,203/2,"Mosaddek Hossain to Pant, SIX runs",,"<strong>TAKE THAT!</strong> Chips down the wicket and goes through with the full flow of the blade, and that sails into the stands beyond long on",2
208,204,Rishabh Pant,931581,Mosaddek Hossain,550133,"Mosaddek Hossain to Pant, 1 run plays a length ball off his pads towards deep midwicket",1st innings,33.6,run,204,1,204/2,"Mosaddek Hossain to Pant, 1 run",,plays a length ball off his pads towards deep midwicket,2
209,205,Rishabh Pant,931581,Rubel Hossain,300619,"Rubel Hossain to Pant, 1 leg bye length, but down the pads, and he walks across and looks to flick this. Gets it off the pads towards fine leg",1st innings,34.1,leg bye,205,1,205/2,"Rubel Hossain to Pant, 1 leg bye",,"length, but down the pads, and he walks across and looks to flick this. Gets it off the pads towards fine leg",2
210,206,Virat Kohli,253802,Rubel Hossain,300619,"Rubel Hossain to Kohli, FOUR runs <strong>SHOT!</strong> Nothing more than just a defensive push to a fullish ball on middle stump. He brings his bat down in a slight arc, and that allows him to place this to the left of short midiwicket. it just hurries way towards the short boundary here at Edgbaston",1st innings,34.2,four,209,4,209/2,"Rubel Hossain to Kohli, FOUR runs",,"<strong>SHOT!</strong> Nothing more than just a defensive push to a fullish ball on middle stump. He brings his bat down in a slight arc, and that allows him to place this to the left of short midiwicket. it just hurries way towards the short boundary here at Edgbaston",2
211,207,Virat Kohli,253802,Rubel Hossain,300619,"Rubel Hossain to Kohli, no run length, and he punches this from the crease towards mid off",1st innings,34.3,no run,209,0,209/2,"Rubel Hossain to Kohli, no run",,"length, and he punches this from the crease towards mid off",2
212,208,Virat Kohli,253802,Rubel Hossain,300619,"Rubel Hossain to Kohli, 1 run length, angles into him, and he taps it with a dead bat towards point and sets off for a quick single. Attempt at a direct hit at the striker's end from Mosaddek, but he would have been in anyway",1st innings,34.4,run,210,1,210/2,"Rubel Hossain to Kohli, 1 run",,"length, angles into him, and he taps it with a dead bat towards point and sets off for a quick single. Attempt at a direct hit at the striker's end from Mosaddek, but he would have been in anyway",2
213,209,Rishabh Pant,931581,Rubel Hossain,300619,"Rubel Hossain to Pant, no run length, angles away from him, and he steers it to point",1st innings,34.5,no run,210,0,210/2,"Rubel Hossain to Pant, no run",,"length, angles away from him, and he steers it to point",2
214,210,Rishabh Pant,931581,Rubel Hossain,300619,"Rubel Hossain to Pant, 1 run slower ball, and he steers this past point towards third man. Should have been stopped by Mosaddek, but seems to have dived just over the ball",1st innings,34.6,run,211,1,211/2,"Rubel Hossain to Pant, 1 run",,"slower ball, and he steers this past point towards third man. Should have been stopped by Mosaddek, but seems to have dived just over the ball",2
215,211,Rishabh Pant,931581,Soumya Sarkar,436677,"Soumya Sarkar to Pant, 1 run full, wide, and Pant <strong>almost over-hits an attempted drive </strong>down the ground! Skews it in the air, but inside out, and drops well short of sweeper cover",1st innings,35.1,run,212,1,212/2,"Soumya Sarkar to Pant, 1 run",,"full, wide, and Pant <strong>almost over-hits an attempted drive </strong>down the ground! Skews it in the air, but inside out, and drops well short of sweeper cover",2
216,212,Virat Kohli,253802,Soumya Sarkar,436677,"Soumya Sarkar to Kohli, 1 run length, slants into Kohli, who drives this down towards long on",1st innings,35.2,run,213,1,213/2,"Soumya Sarkar to Kohli, 1 run",,"length, slants into Kohli, who drives this down towards long on",2
217,213,Rishabh Pant,931581,Soumya Sarkar,436677,"Soumya Sarkar to Pant, 1 run slower ball, and he eases it off his hips towards square leg",1st innings,35.3,run,214,1,214/2,"Soumya Sarkar to Pant, 1 run",,"slower ball, and he eases it off his hips towards square leg",2
